Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
12356;Practice;122234_69;8.607518;Experiment;started;0
12356;Practice;122247_35;21.2647;3_ BarYellow;Correct placement;n/a
12356;Practice;122247_35;21.2647;Step;completed;0
12356;Practice;122250_55;24.4662;4_BarYellow;Correct placement;n/a
12356;Practice;122250_55;24.4662;Step;completed;1
12356;Practice;122254_73;28.65328;5_BarYellow;Correct placement;n/a
12356;Practice;122254_74;28.65328;Step;completed;2
12356;Practice;122257_10;31.01958;6_BarYellow;Correct placement;n/a
12356;Practice;122257_10;31.01958;Step;completed;3
12356;Practice;122259_27;33.18696;7_BarYellow;Correct placement;n/a
