Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_in_trial;Category;Action;Errortype;Step;TimeSinceLastEvent
123;Practice;n/a;n/a;1;12:10.15;0;Trial;loaded;n/a;0;0
123;Practice;n/a;n/a;1;12:10.25;9821;ShortBar;Correct placement;n/a;0;9821
123;Practice;n/a;n/a;1;12:10.28;12751;ShortBar;Correct placement;n/a;1;2930
123;Practice;n/a;n/a;1;12:10.30;15265;MediumBar;Correct placement;n/a;2;2514
123;Practice;n/a;n/a;1;12:10.34;19210;LongBar;Correct placement;n/a;3;3944
123;Practice;n/a;n/a;1;12:10.36;21265;LongBar;Correct placement;n/a;4;2056
123;Practice;n/a;n/a;1;12:10.36;21265;Trial;complete;n/a;4;0
123;PracticeColor;n/a;n/a;1;12:10.39;0;Trial;loaded;n/a;0;-21265
123;PracticeColor;n/a;n/a;1;12:10.46;7809;ShortBar;Correct placement;n/a;0;7809
123;PracticeColor;n/a;n/a;1;12:10.51;12128;ShortBar;Correct placement;n/a;1;4319
123;PracticeColor;n/a;n/a;1;12:10.58;19114;MediumBar;Correct placement;n/a;2;6986
123;PracticeColor;n/a;n/a;1;12:11.02;23293;LongBar;Correct placement;n/a;3;4179
123;PracticeColor;n/a;n/a;1;12:11.07;28210;LongBar;Correct placement;n/a;4;4918
123;PracticeColor;n/a;n/a;1;12:11.07;28210;Trial;complete;n/a;4;0
123;A;A2;AT;1;12:11.15;0;Trial;loaded;n/a;0;-28210
123;A;A2;AT;1;12:11.17;2013;Trial;started;n/a;0;2013
123;A;A2;AT;1;12:11.21;6431;MediumBar;Correct placement;n/a;0;4418
123;A;A2;AT;1;12:11.25;10111;ShortBar;Correct placement;n/a;1;3680
123;A;A2;AT;1;12:11.31;16029;LongBar;Correct placement;n/a;2;5918
123;A;A2;AT;1;12:11.35;19974;LongBar;Correct placement;n/a;3;3945
123;A;A2;AT;1;12:11.37;22708;ShortBar;Error;placement;4;2734
123;A;A2;AT;1;12:11.40;25458;ShortBar;Correct placement;n/a;4;2750
123;A;A2;AT;1;12:11.40;25458;Trial;complete;n/a;4;0
123;A;A2;AT;2;12:11.42;950;Trial;started;n/a;0;-24508
123;A;A2;AT;2;12:11.42;0;Trial;loaded;n/a;0;-950
123;A;A2;AT;2;12:11.45;2434;MediumBar;Correct placement;n/a;0;2434
123;A;A2;AT;2;12:11.47;4765;ShortBar;Correct placement;n/a;1;2332
123;A;A2;AT;2;12:11.50;7697;LongBar;Error;placement;2;2931
123;A;A2;AT;2;12:11.53;10710;LongBar;Correct placement;n/a;2;3013
123;A;A2;AT;2;12:11.56;13794;LongBar;Correct placement;n/a;3;3084
123;A;A2;AT;2;12:11.58;15682;ShortBar;Correct placement;n/a;4;1888
123;A;A2;AT;2;12:11.58;15682;Trial;complete;n/a;4;0
123;A;A2;AT;3;12:12.00;0;Trial;loaded;n/a;0;-15682
123;A;A2;AT;3;12:12.02;1320;Trial;started;n/a;0;1320
