Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_in_trial;Category;Action;Errortype;Step;TimeSinceLastEvent
1258;Practice;n/a;n/a;1;12:57.46;0;Trial;loaded;n/a;0;0
1258;Practice;n/a;n/a;1;12:57.50;3933;ShortBar;Error;placement;0;3933
1258;Practice;n/a;n/a;1;12:57.51;4988;Trial;continued;n/a;0;1055
1258;Practice;n/a;n/a;1;12:57.53;6837;ShortBar;Correct placement;n/a;0;1849
1258;Practice;n/a;n/a;1;12:57.55;8781;ShortBar;Error;placement;1;1945
1258;Practice;n/a;n/a;1;12:57.56;9781;Trial;continued;n/a;1;1000
1258;Practice;n/a;n/a;1;12:57.58;11726;ShortBar;Correct placement;n/a;1;1945
1258;Practice;n/a;n/a;1;12:58.01;14767;MediumBar;Correct placement;n/a;2;3041
1258;Practice;n/a;n/a;1;12:58.03;17449;LongBar;Correct placement;n/a;3;2681
1258;Practice;n/a;n/a;1;12:58.06;20143;LongBar;Correct placement;n/a;4;2695
1258;Practice;n/a;n/a;1;12:58.06;20143;Trial;complete;n/a;4;0
1258;PracticeColor;n/a;n/a;1;12:58.09;0;Trial;loaded;n/a;0;-20143
1258;PracticeColor;n/a;n/a;1;12:58.15;5627;ShortBar;Correct placement;n/a;0;5627
1258;PracticeColor;n/a;n/a;1;12:58.17;7668;ShortBar;Error;placement;1;2041
1258;PracticeColor;n/a;n/a;1;12:58.18;8751;Trial;continued;n/a;1;1082
1258;B;A3;AT;1;12:58.35;0;Trial;loaded;n/a;0;-8751
1258;B;A3;AT;1;12:58.36;1334;Trial;started;n/a;0;1334
1258;B;A3;AT;1;12:58.40;5431;ShortBar;Correct placement;n/a;0;4096
1258;B;A3;AT;1;12:58.45;9849;MediumBar;Correct placement;n/a;1;4418
1258;B;A3;AT;1;12:58.48;12875;ShortBar;Correct placement;n/a;2;3026
1258;B;A3;AT;1;12:58.51;16640;MediumBar;Correct placement;n/a;3;3765
1258;B;A3;AT;1;12:58.58;23361;LongBar;Correct placement;n/a;4;6721
1258;B;A3;AT;1;12:58.58;23361;Trial;complete;n/a;4;0
1258;B;A3;AT;2;12:59.01;0;Trial;loaded;n/a;0;-23361
