Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_in_trial;Category;Action;Step;TimeSinceLastEvent
139;A;A3;AT;1;14:35.40;0;Trial;loaded;0;0
139;A;A3;AT;1;14:35.41;1608;Trial;started;0;2
139;A;A3;AT;1;14:35.44;4294;LongBar;Incorrect placement;0;3
139;A;A3;AT;1;14:35.45;5517;Trial;continued;0;1
139;A;A3;AT;1;14:35.48;8975;LongBar;Incorrect placement;0;3
139;A;A3;AT;1;14:35.50;10017;Trial;continued;0;1
139;A;A3;AT;1;14:35.51;11434;LongBar;Incorrect placement;0;1
139;A;A3;AT;1;14:35.53;13183;Trial;continued;0;2
139;A;A3;AT;1;14:35.54;14169;LongBar;Incorrect placement;0;1
139;A;A3;AT;1;14:35.55;15266;Trial;continued;0;1
139;A;A3;AT;1;14:35.58;18363;LongBar;Incorrect placement;0;3
139;A;A3;AT;1;14:35.59;19766;Trial;continued;0;1
