Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
359;C;S2;AT;1;10:23.14;00:01:1024;Trial;loaded;0
359;C;S2;AT;1;10:23.37;00:23:23565;MediumBar;Correct placement;0
359;C;S2;AT;1;10:23.48;00:34:34801;ShortBar;Correct placement;1
359;C;S2;AT;1;10:24.00;00:47:47294;MediumBar;Correct placement;2
359;C;S2;AT;1;10:24.06;00:52:52753;ShortBar;Incorrect placement;3
359;C;S2;AT;1;10:24.09;00:55:55767;ShortBar;Incorrect placement;3
359;C;S2;AT;1;10:24.13;01:00:60337;ShortBar;Correct placement;3
359;C;S2;AT;1;10:24.20;01:06:66934;LongBar;Incorrect placement;4
359;C;S2;AT;1;10:24.25;01:12:72073;LongBar;Incorrect placement;4
359;C;S2;AT;1;10:24.53;01:38:98936;LongBar;Incorrect placement;4
