Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
361;WH_A2_AT;8;15:25.30;00:01:1029;Experiment;started;0
361;WH_A2_AT;8;15:25.37;00:08:8073;8_BarYellow;Correct placement;n/a
361;WH_A2_AT;8;15:25.37;00:08:8073;Step;completed;0
361;WH_A2_AT;8;15:25.51;00:21:21994;6_BarYellow;Inorrect placement;n/a
361;WH_A2_AT;8;15:25.51;00:21:21994;Step;completed;1
361;WH_A2_AT;8;15:25.55;00:25:25972;6_BarYellow;Inorrect placement;n/a
361;WH_A2_AT;8;15:25.55;00:25:25972;Step;completed;2
361;WH_A2_AT;8;15:26.02;00:33:33005;5_BarYellow;Inorrect placement;n/a
361;WH_A2_AT;8;15:26.02;00:33:33005;Step;completed;3
361;WH_A2_AT;8;15:26.07;00:37:37940;7_BarYellow;Inorrect placement;n/a
