ID;A;B;C;D;E;F;G;H
1;2;3;4;6;4;2;6;3
2;3;6;2;4;6;4;3;2
3;6;4;3;2;3;6;2;4
4;4;2;6;3;2;3;4;6
5;2;3;4;6;4;2;6;3
6;3;6;2;4;6;4;3;2
7;6;4;3;2;3;6;2;4
8;4;2;6;3;2;3;4;6
9;2;3;4;6;4;2;6;3
10;3;6;2;4;6;4;3;2
11;6;4;3;2;3;6;2;4
12;4;2;6;3;2;3;4;6
13;2;3;4;6;4;2;6;3
14;3;6;2;4;6;4;3;2
15;6;4;3;2;3;6;2;4
16;4;2;6;3;2;3;4;6
17;2;3;4;6;4;2;6;3
18;3;6;2;4;6;4;3;2
19;6;4;3;2;3;6;2;4
20;4;2;6;3;2;3;4;6
21;2;3;4;6;4;2;6;3
22;3;6;2;4;6;4;3;2
23;6;4;3;2;3;6;2;4
24;4;2;6;3;2;3;4;6
25;2;3;4;6;4;2;6;3
26;3;6;2;4;6;4;3;2
27;6;4;3;2;3;6;2;4
28;4;2;6;3;2;3;4;6
29;2;3;4;6;4;2;6;3
30;3;6;2;4;6;4;3;2
31;6;4;3;2;3;6;2;4
32;4;2;6;3;2;3;4;6
33;2;3;4;6;4;2;6;3
34;3;6;2;4;6;4;3;2
35;6;4;3;2;3;6;2;4
36;4;2;6;3;2;3;4;6
37;2;3;4;6;4;2;6;3
38;3;6;2;4;6;4;3;2
39;6;4;3;2;3;6;2;4
40;4;2;6;3;2;3;4;6
41;2;3;4;6;4;2;6;3
42;3;6;2;4;6;4;3;2
43;6;4;3;2;3;6;2;4
44;4;2;6;3;2;3;4;6
45;2;3;4;6;4;2;6;3
ID;A;B;C;D;E;F;G;H
46;3;6;2;4;6;4;3;2
47;6;4;3;2;3;6;2;4
48;4;2;6;3;2;3;4;6
49;2;3;4;6;4;2;6;3
50;3;6;2;4;6;4;3;2
51;6;4;3;2;3;6;2;4
52;4;2;6;3;2;3;4;6
53;2;3;4;6;4;2;6;3
54;3;6;2;4;6;4;3;2
55;6;4;3;2;3;6;2;4
56;4;2;6;3;2;3;4;6
57;2;3;4;6;4;2;6;3
58;3;6;2;4;6;4;3;2
59;6;4;3;2;3;6;2;4
60;4;2;6;3;2;3;4;6
